LOB,Interval,Forecasted Calls,Offered Calls,Answered Calls,Service Level%,ASA (secs),ABN%,Sum of OTF.,Sum of AHT.,Sum of Occ.,Sum of Met SLA
Carelon Behavioral Health (Beacon CC) Grand Total,,595,611,604,85.67%,22,1.15%,102.72%,466,76.32%,520
Carelon Behavioral Health (Beacon CC),8:00,17,24,24,100.00%,7,0.00%,139.53%,315,30.86%,24
Carelon Behavioral Health (Beacon CC),8:30,42,29,29,100.00%,3,0.00%,68.77%,331,23.83%,29
Carelon Behavioral Health (Beacon CC),9:00,58,71,69,98.57%,3,1.41%,123.48%,362,66.13%,69
Carelon Behavioral Health (Beacon CC),9:30,75,70,71,101.43%,2,0.00%,93.96%,548,84.40%,71
Carelon Behavioral Health (Beacon CC),10:00,82,79,70,29.49%,106,3.80%,96.05%,495,91.95%,23
Carelon Behavioral Health (Beacon CC),10:30,103,116,120,84.35%,22,0.86%,112.10%,488,92.86%,97
Carelon Behavioral Health (Beacon CC),11:00,106,105,105,98.10%,6,0.95%,99.34%,503,77.56%,103
Carelon Behavioral Health (Beacon CC),11:30,112,117,116,89.66%,15,0.85%,104.46%,454,89.02%,104
Carelon Medical Benefits Management Grand Total,,991,921,916,98.05%,3,0.00%,92.97%,443,46.13%,903
Carelon Medical Benefits Management,8:00,32,33,33,100.00%,2,0.00%,104.00%,275,10.20%,33
Carelon Medical Benefits Management,8:30,91,78,78,100.00%,1,0.00%,85.62%,353,28.93%,78
Carelon Medical Benefits Management,9:00,117,112,112,100.00%,1,0.00%,95.81%,477,42.01%,112
Carelon Medical Benefits Management,9:30,143,121,121,100.00%,1,0.00%,84.60%,418,49.92%,121
Carelon Medical Benefits Management,10:00,144,138,138,100.00%,1,0.00%,95.95%,460,47.39%,138
Carelon Medical Benefits Management,10:30,151,166,166,100.00%,1,0.00%,110.23%,464,55.86%,166
Carelon Medical Benefits Management,11:00,153,131,131,100.00%,1,0.00%,85.45%,452,46.26%,131
Carelon Medical Benefits Management,11:30,160,142,137,87.32%,12,0.00%,88.69%,466,71.66%,124
Legacy Behavioral Health Grand Total,,126,125,125,100.00%,3,0.00%,99.27%,442,40.66%,125
Legacy Behavioral Health,8:00,6,4,4,100.00%,3,0.00%,69.29%,425,14.54%,4
Legacy Behavioral Health,8:30,9,10,10,100.00%,1,0.00%,117.34%,392,36.97%,10
