 ,Interval,Forecasted Calls,Offered Calls,Answered Calls,Service Level%,ASA (secs),ABN%,Sum of OTF.,Sum of AHT.,Sum of Occ.,Sum of Met SLA
Carelon Behavioral Health (Beacon CC) Grand Total,,1877,1948,1924,86.50%,23,1.23%,103.81%,453,72.97%,1679
Carelon Behavioral Health (Beacon CC),08:00,20,20,20,100.00%,4,0.00%,99.30%,241,19.29%,20
Carelon Behavioral Health (Beacon CC),08:30,38,38,38,100.00%,3,0.00%,99.97%,349,44.63%,38
Carelon Behavioral Health (Beacon CC),09:00,65,38,38,100.00%,4,0.00%,58.31%,434,37.90%,38
Carelon Behavioral Health (Beacon CC),09:30,76,69,69,97.10%,10,0.00%,90.69%,293,49.63%,67
Carelon Behavioral Health (Beacon CC),10:00,94,79,79,100.00%,2,0.00%,83.97%,447,68.64%,79
Carelon Behavioral Health (Beacon CC),10:30,102,112,102,67.27%,34,2.68%,110.04%,427,84.44%,74
Carelon Behavioral Health (Beacon CC),11:00,103,157,146,32.26%,91,3.18%,152.74%,437,98.09%,50
Carelon Behavioral Health (Beacon CC),11:30,107,129,127,8.59%,177,10.85%,120.13%,603,99.40%,11
Carelon Behavioral Health (Beacon CC),12:00,103,111,110,97.27%,5,0.90%,107.86%,550,83.74%,107
Carelon Behavioral Health (Beacon CC),12:30,103,123,124,100.81%,3,0.00%,119.55%,375,67.86%,124
Carelon Behavioral Health (Beacon CC),13:00,114,114,114,100.00%,3,0.00%,100.12%,435,79.63%,114
Carelon Behavioral Health (Beacon CC),13:30,118,100,100,100.00%,2,0.00%,84.50%,434,65.56%,100
Carelon Behavioral Health (Beacon CC),14:00,117,135,135,100.00%,2,0.00%,115.38%,403,65.00%,135
Carelon Behavioral Health (Beacon CC),14:30,119,111,111,100.00%,5,0.00%,93.06%,501,82.78%,111
Carelon Behavioral Health (Beacon CC),15:00,124,106,106,100.00%,1,0.00%,85.57%,516,78.58%,106
Carelon Behavioral Health (Beacon CC),15:30,120,108,107,99.07%,2,0.00%,90.26%,474,74.04%,107
Carelon Behavioral Health (Beacon CC),16:00,112,141,141,100.71%,2,0.71%,126.22%,429,79.53%,141
Carelon Behavioral Health (Beacon CC),16:30,104,86,86,100.00%,2,0.00%,83.03%,490,58.24%,86
Carelon Behavioral Health (Beacon CC),17:00,80,90,90,100.00%,2,0.00%,112.74%,396,65.84%,90
Carelon Behavioral Health (Beacon CC),17:30,58,81,81,100.00%,5,0.00%,139.29%,465,79.42%,81
Carelon Medical Benefits Management Grand Total,,2088,2347,2346,92.20%,10,0.04%,112.41%,417,61.24%,2164
Carelon Medical Benefits Management,08:00,26,30,30,93.33%,6,0.00%,116.60%,326,13.67%,28
Carelon Medical Benefits Management,08:30,71,100,100,100.00%,1,0.00%,139.90%,346,48.03%,100
Carelon Medical Benefits Management,09:00,102,121,121,100.00%,1,0.00%,119.04%,321,41.84%,121
Carelon Medical Benefits Management,09:30,122,141,141,95.04%,5,0.00%,115.51%,394,59.15%,134
Carelon Medical Benefits Management,10:00,122,159,159,90.57%,9,0.00%,130.01%,392,66.09%,144
